t1,t2,t3,t4,t5,t6,brs
92,6,89,84,88,93,545
81,72,49,46,53,65,380
33,78,5,3,54,13,480
0,77,51,60,76,52,421
96,58,20,24,96,97,507
36,88,29,13,72,25,459
67,82,78,96,92,3,517
76,31,54,34,73,69,411
93,61,99,76,62,5,491
52,17,54,52,98,85,429
73,16,57,99,90,44,463
56,51,41,46,61,49,335
85,22,84,88,70,3,506
11,2,82,17,86,88,529
13,63,87,71,47,81,446
27,55,73,28,99,96,472
52,53,69,83,53,88,404
41,1,73,6,55,20,462
80,61,81,83,52,54,417
41,80,20,91,69,23,459
59,74,91,72,69,87,458
9,73,88,98,21,93,526
98,23,97,98,76,39,511
81,77,66,85,50,53,418
4,74,43,13,80,57,454
96,68,16,81,97,77,508
80,19,16,26,87,80,489
97,18,54,92,63,34,458
23,18,98,95,44,80,491
62,33,72,86,25,83,449
54,42,70,84,68,14,424
23,13,13,42,57,36,431
61,99,46,56,98,0,472
74,65,15,96,93,85,503
21,57,54,64,6,74,426
79,59,66,69,97,71,447
94,53,74,54,47,67,400
28,57,95,1,40,90,476
20,54,55,17,94,83,453
73,93,22,53,91,74,467
53,56,68,91,89,73,436
53,62,81,66,48,50,369
8,94,70,85,11,25,508
79,56,84,51,91,99,466
83,49,83,50,42,90,419
2,87,70,56,71,89,476
38,57,82,99,11,92,485
73,28,35,82,64,16,443
2,28,70,3,66,24,481
23,13,67,2,85,65,482
43,88,33,60,34,14,426
65,99,86,79,64,64,463
75,95,75,92,31,80,491
55,5,47,77,58,52,394
49,82,57,95,78,50,418
14,89,67,45,64,52,417
26,91,78,70,88,99,505
54,96,55,16,14,16,462
63,49,52,64,59,19,374
83,90,66,42,57,88,447
99,51,52,87,4,25,464
76,81,84,15,96,54,481
95,97,79,60,51,29,458
61,30,81,9,98,13,491
57,67,65,81,96,97,469
68,31,60,97,63,67,429
94,96,98,39,81,58,493
88,78,38,78,43,92,459
74,30,56,77,28,83,436
72,88,66,19,70,50,432
3,33,87,32,94,90,506
21,89,18,60,79,58,451
37,78,92,50,5,84,466
7,51,66,67,76,98,456
11,69,29,3,21,69,476
10,80,84,9,83,52,484
28,45,87,79,11,58,443
35,73,76,96,69,74,458
47,19,82,98,77,62,457
11,87,0,52,49,51,433
60,93,58,82,52,61,412
94,86,54,31,66,56,430
54,63,77,91,58,7,441
95,64,62,42,51,50,385
65,70,42,65,70,56,389
4,63,51,60,48,79,405
10,95,54,92,25,98,508
62,1,51,51,93,33,427
81,45,79,63,5,52,429
80,47,75,78,80,41,429
74,82,65,78,92,69,466
68,72,65,97,76,60,444
94,99,1,84,51,72,504
70,72,48,61,15,24,419
54,69,80,59,31,83,419
90,98,86,95,26,79,527
94,41,94,76,73,94,495
88,94,76,62,0,98,523
91,17,81,19,99,53,492
9,91,61,16,52,74,457
98,60,18,62,47,98,457
76,85,69,4,68,26,472
90,84,84,3,46,65,478
79,17,31,17,78,4,490
71,71,87,61,27,81,449
72,94,11,94,62,54,470
26,86,61,38,59,64,410
51,27,40,74,84,31,414
18,65,62,50,70,97,431
97,16,61,57,1,75,477
99,96,31,67,81,62,479
41,19,6,62,60,50,409
50,71,23,83,61,6,440
47,84,88,91,88,87,496
30,57,25,26,83,22,439
7,68,72,62,57,62,419
44,77,95,35,65,85,447
9,51,2,77,67,14,473
79,67,96,79,5,76,497
81,59,62,95,83,14,471
88,94,50,50,45,72,414
72,71,36,79,46,85,429
92,88,81,53,70,73,463
70,69,66,77,73,88,449
82,66,60,91,17,92,479
97,52,38,94,86,18,477
82,91,86,88,98,92,543
67,73,93,92,64,71,466
4,77,70,56,65,82,451
86,98,76,40,65,38,451
63,62,31,8,63,85,438
94,89,12,24,12,96,534
73,99,7,97,16,85,535
51,86,56,43,14,83,423
94,75,59,29,60,77,441
71,11,64,79,50,46,411
89,98,59,76,20,70,477
85,56,10,16,70,86,475
88,88,13,76,28,68,483
74,30,51,94,33,61,421
81,64,67,55,73,63,409
79,91,91,77,71,42,472
3,43,94,20,26,65,469
61,82,64,91,76,18,461
51,80,51,72,52,88,400
53,90,94,80,71,52,446
87,87,79,50,34,6,467
93,76,59,87,99,57,477
59,93,48,60,87,64,420
57,84,16,13,57,85,458
29,87,92,47,46,60,420
69,14,67,83,50,65,425
68,60,60,50,86,64,394
83,74,63,71,47,53,402
88,2,27,80,60,80,483
73,62,62,99,18,60,443
50,68,26,93,39,68,418
77,66,79,44,36,38,407
64,84,76,23,60,30,435
76,24,26,89,27,80,471
46,13,94,93,80,91,503
66,77,91,98,83,66,487
93,26,65,66,90,62,455
61,80,94,95,57,76,469
74,55,23,68,29,21,427
6,62,59,50,52,82,404
58,68,66,71,78,67,414
16,93,68,0,21,33,493
88,61,0,54,39,86,454
91,5,95,97,39,14,528
57,1,31,5,38,21,462
61,92,64,74,60,82,439
31,87,75,1,77,76,487
11,97,33,91,66,2,511
61,70,3,85,70,57,445
79,59,11,85,86,91,494
85,91,90,75,25,10,510
61,86,57,89,76,60,435
77,64,44,45,83,42,396
60,28,37,80,92,57,428
67,64,82,33,67,45,406
85,4,42,99,51,48,444
66,81,56,82,66,54,411
92,60,61,74,67,60,420
56,85,76,51,87,6,454
55,97,81,69,65,8,464
66,90,75,21,88,76,479
48,89,59,33,79,85,435
58,83,79,72,72,71,441
50,78,95,65,73,85,452
58,10,53,98,61,31,433
75,78,82,19,98,77,496
23,57,56,89,57,83,424
97,29,86,63,66,91,479
71,47,61,15,35,61,399
5,28,81,84,91,69,496
7,8,95,14,81,54,504
69,36,4,35,95,91,483
5,57,55,84,95,46,444
42,82,15,83,60,73,445
64,81,76,88,87,84,486
91,69,32,11,86,99,506
66,53,68,63,17,72,410
65,87,11,18,48,30,447
92,88,53,51,90,68,448
74,49,85,37,68,56,401
8,82,78,17,96,54,489
87,31,3,68,82,74,481
66,70,97,63,96,64,462
79,69,66,88,1,8,497
93,66,43,79,7,29,462
40,66,54,12,74,70,416
51,53,88,0,77,11,462
23,78,82,86,76,8,495
5,89,90,27,26,16,507
59,98,13,58,93,58,458
72,99,76,50,60,97,460
14,67,81,92,73,93,497
76,90,73,73,76,3,490
21,8,0,90,70,7,526
43,93,71,83,55,41,422
69,85,19,35,57,39,421
73,97,20,92,68,84,499
22,54,94,99,25,82,486
68,77,82,63,52,60,408
55,46,53,90,86,3,439
30,72,95,74,64,93,473
87,81,94,59,15,84,495
53,52,81,48,88,3,427
82,74,38,44,55,96,429
81,53,18,33,26,60,420
79,61,69,54,78,93,440
13,71,84,88,72,67,474
50,49,64,87,70,87,414
14,48,73,35,93,77,449
87,98,68,79,94,75,507
63,76,22,4,53,65,435
36,97,35,51,59,90,430
59,7,57,69,56,76,415
99,68,14,26,51,81,463
66,86,99,84,21,79,498
64,97,9,7,89,59,497
61,95,69,9,86,43,463
43,83,93,92,88,64,482
86,89,95,2,35,50,487
26,63,10,58,42,71,417
46,52,44,99,52,9,407
83,1,25,60,98,58,477
13,96,80,14,27,49,475
9,95,67,86,86,76,506
86,50,58,54,80,70,404
59,22,55,80,66,77,420
1,57,86,38,85,49,443
95,58,72,74,76,62,443
70,61,88,80,16,53,441
63,99,44,93,71,96,483
82,80,41,2,84,40,466
80,3,81,75,77,76,491
58,54,64,84,90,61,417
55,94,88,56,10,70,458
52,55,72,70,92,94,441
98,60,93,62,66,84,469
76,77,88,96,21,93,514
78,57,61,85,74,56,417
27,69,61,94,93,52,447
78,65,15,40,46,30,414
4,52,4,12,82,86,503
9,64,27,82,72,61,447
60,83,83,67,69,91,459
65,89,72,56,65,58,411
68,16,50,68,66,65,406
74,5,99,87,98,86,544
88,63,71,21,70,25,450
98,54,94,87,81,90,510
63,40,76,2,39,40,420
5,44,51,3,20,70,451
65,66,83,60,96,57,433
22,14,59,16,86,21,474
20,29,60,99,34,49,429
72,89,92,23,52,71,458
46,91,93,67,82,92,484
29,35,79,56,26,7,440
54,34,47,69,90,74,410
51,79,79,97,53,45,419
54,20,59,83,24,25,430
12,90,46,79,78,70,463
86,30,58,93,21,92,482
47,68,58,77,69,93,423
81,48,72,59,71,65,405
61,52,17,82,73,92,448
14,15,91,84,69,63,482
64,58,70,9,98,51,437
70,83,47,66,79,53,409
51,76,71,76,42,56,393
18,94,54,54,44,62,406
24,37,81,41,73,99,454
53,83,38,47,95,99,449
29,92,75,28,23,28,461
25,86,96,19,73,64,479
67,78,45,31,25,23,423
69,23,76,82,24,86,470
79,24,86,39,73,78,457
17,92,72,81,41,52,443
86,69,68,97,66,9,482
40,77,98,92,73,59,464
90,70,99,87,95,52,499
97,93,19,92,80,8,539
58,90,59,47,92,77,434
88,45,2,25,21,73,470
5,92,60,43,32,87,462
30,9,37,94,68,93,482
7,62,72,21,84,88,482
57,49,44,79,67,81,395
55,58,95,75,8,76,456
38,48,99,15,75,43,432
59,19,64,59,96,71,435
14,77,59,89,58,51,425
50,98,82,22,81,17,476
98,38,92,62,62,41,439
25,56,89,59,21,70,432
53,74,71,65,65,65,399
81,65,63,60,86,63,424
81,68,98,90,23,94,513
69,18,23,90,11,86,496
75,73,83,66,66,28,440
65,20,70,85,95,57,457
50,56,93,65,72,57,399
97,65,73,78,75,64,458
4,82,60,43,96,73,468
53,83,82,94,66,23,460
69,87,99,51,72,78,462
65,80,53,94,56,87,441
70,68,65,71,96,24,451
19,89,21,80,90,86,509
68,71,50,15,24,47,406
36,76,82,94,36,77,461
19,4,65,90,59,56,451
97,33,59,89,76,54,447
97,51,54,19,74,71,433
95,19,59,51,10,24,455
74,51,1,90,71,25,464
60,0,78,32,36,60,433
41,74,78,52,67,95,430
37,79,48,81,66,87,432
97,97,83,5,7,57,526
64,65,57,62,74,70,398
56,35,60,16,93,50,412
94,65,88,85,6,48,482
69,45,35,29,68,85,416
29,70,49,46,89,21,416
90,52,97,55,96,33,462
72,2,68,46,81,71,448
80,39,72,58,94,17,452
72,2,33,77,68,94,480
76,32,39,68,12,17,446
35,35,48,87,91,78,441
52,53,0,87,62,65,424
80,64,85,82,90,94,501
99,79,98,65,57,86,490
92,93,76,3,85,40,507
40,91,85,27,15,69,466
57,26,89,74,29,86,455
57,82,76,33,26,21,438
77,60,30,24,59,39,406
53,95,99,78,10,72,492
93,74,45,33,85,31,446
92,62,75,26,35,72,444
30,95,96,73,6,91,523
81,36,72,84,7,90,488
59,75,78,74,72,51,415
93,99,84,78,13,38,507
70,85,91,35,97,31,481
56,33,80,72,79,0,458
4,9,93,62,70,9,506
78,59,63,64,45,87,411
82,61,55,63,92,2,456
91,52,92,30,89,62,461
42,74,77,59,99,66,438
54,17,71,45,85,56,408
73,55,7,86,86,96,494
37,93,11,5,1,13,527
37,88,86,18,52,90,465
93,98,80,80,22,38,495
59,59,74,20,53,49,380
61,3,51,67,84,94,459
79,23,79,27,79,65,456
64,25,91,29,14,84,474
78,15,59,62,8,86,466
17,63,20,97,90,45,471
4,56,71,57,76,30,430
86,85,28,1,79,79,504
86,76,56,49,90,53,417
26,6,45,76,28,0,472
47,78,74,46,83,92,438
29,81,79,51,28,65,423
2,82,2,34,88,8,526
98,71,73,20,5,24,496
90,78,64,12,62,78,465
54,65,97,98,57,97,474
67,77,77,85,72,5,478
63,93,14,5,81,48,473
62,68,57,86,21,66,423
29,71,65,64,62,61,399
53,98,32,11,63,41,433
26,63,33,58,63,77,406
30,81,86,74,19,98,494
10,56,87,89,73,88,488
41,80,13,55,17,51,418
7,10,28,71,63,26,465
51,37,37,96,56,70,403
97,51,81,18,75,93,484
35,87,52,66,53,17,410
50,0,3,39,88,15,483
62,95,76,98,95,86,518
55,85,37,56,72,23,412
15,97,63,51,25,99,474
78,0,62,63,68,31,444
72,75,1,92,83,99,525
84,72,67,85,71,58,443
96,90,53,49,81,48,427
51,72,77,77,97,69,449
92,81,53,60,84,15,460
66,15,8,86,66,25,473
50,37,40,84,95,68,424
87,82,79,77,36,98,492
64,70,59,74,16,11,444
63,60,0,79,1,58,463
8,69,99,39,45,72,451
46,63,86,44,77,2,437
58,91,73,69,11,75,460
39,20,57,71,46,16,409
50,61,76,38,42,53,364
15,70,89,98,70,53,470
86,71,58,95,17,99,497
82,83,62,75,53,12,448
56,98,85,79,51,98,473
71,79,43,78,69,84,443
47,34,15,17,51,51,391
14,32,57,49,68,4,428
63,98,48,4,73,75,461
46,90,18,15,62,84,460
34,72,97,59,61,18,441
66,90,3,30,69,55,451
62,72,71,78,2,19,466
26,18,37,16,17,51,438
83,84,88,77,25,95,507
95,51,95,81,20,27,479
20,55,62,58,85,84,429
72,90,73,3,13,52,475
95,98,6,74,11,77,531
72,75,72,89,72,80,466
16,0,66,78,30,51,452
6,25,84,96,35,89,506
85,92,57,73,29,30,452
69,30,15,75,75,85,463
60,67,99,73,90,94,489
73,54,77,52,27,66,400
34,41,61,75,53,81,399
62,71,14,46,15,7,453
84,71,25,69,54,95,453
53,79,75,4,89,71,468
59,56,18,29,49,61,383
56,66,81,89,82,31,448
63,75,8,65,68,39,428
97,1,16,75,46,84,496
68,91,52,54,71,31,410
25,54,73,62,83,67,419
50,50,30,73,33,57,371
54,59,74,85,96,50,424
84,82,56,6,94,79,494
64,88,10,82,91,36,483
76,76,88,97,66,84,493
79,50,88,72,22,61,433
76,35,87,52,89,56,430
73,3,77,4,37,69,478
89,79,32,89,56,79,465
95,78,56,42,74,60,426
53,87,85,52,55,81,419
79,73,50,35,20,50,401
68,99,87,79,63,53,455
14,42,6,73,69,86,469
81,98,10,80,30,86,509
78,83,6,79,31,71,478
83,55,59,83,54,84,424
8,82,71,81,56,64,451
74,55,4,98,72,73,473
64,32,66,94,52,55,404
49,71,78,53,56,79,393
72,22,91,22,52,71,446
80,15,73,86,87,79,495
71,60,91,82,22,67,454
52,88,40,22,98,70,450
14,36,52,98,91,54,449
33,92,78,15,78,89,493
39,69,41,99,42,15,433
50,93,85,33,32,59,426
7,23,17,1,35,47,470
52,87,50,39,55,59,369
18,71,43,55,72,52,393
85,13,35,83,90,73,487
50,75,53,69,67,98,418
82,58,28,51,27,95,435
53,86,77,90,88,59,459
3,90,61,89,59,75,476
93,70,88,36,19,63,463
93,82,88,53,63,87,472
27,90,13,39,71,61,446
24,70,75,94,71,68,459
78,73,86,75,91,27,481
13,76,62,26,69,51,423
62,92,80,52,99,60,451
0,21,44,15,96,10,507
31,4,25,21,96,8,508
59,21,60,51,74,54,382
34,33,99,56,60,51,403
82,47,12,62,1,52,439
59,84,71,59,7,64,435
82,68,79,59,52,71,417
10,70,4,72,87,71,490
93,51,92,63,84,98,487
3,72,97,80,60,48,462
75,63,6,38,88,54,440
75,74,46,96,45,2,455
44,81,31,57,74,66,407
79,94,61,76,34,79,460
89,73,32,2,61,88,481
51,80,68,53,97,87,442
50,50,76,40,83,25,398
86,63,39,32,85,78,445
35,99,52,66,78,25,439
95,81,82,95,10,79,527
4,74,9,70,38,50,446
29,72,51,21,29,27,419
70,90,90,64,64,87,471
4,26,44,71,17,51,433
86,94,51,13,71,65,459
4,83,77,65,89,66,481
16,89,74,36,95,99,509
14,30,67,79,74,80,460
87,73,81,75,13,90,498
71,87,85,54,43,89,448
81,3,57,35,68,60,432
87,42,6,11,10,73,493
33,50,36,72,92,53,402
91,30,83,54,92,79,474
81,10,68,63,65,76,448
62,28,35,44,6,83,434
68,74,75,20,36,72,437
62,61,94,51,95,64,433
18,84,95,97,75,97,535
28,78,90,82,89,62,478
17,96,16,90,48,11,496
88,1,68,76,72,98,506
8,69,87,95,85,25,507
82,77,45,97,92,89,497
53,76,62,65,14,52,399
87,33,95,90,1,75,517
31,65,42,75,75,93,439
59,15,64,13,88,79,466
52,85,6,8,17,91,500
96,15,76,87,85,75,509
31,95,82,80,36,64,458
55,66,40,89,77,20,431
72,35,50,51,80,90,413
36,54,35,98,56,84,425
61,20,14,44,19,12,453
41,74,60,13,51,60,395
65,18,52,78,67,82,431
75,80,98,83,96,96,534
54,3,90,31,24,85,474
72,77,87,32,58,50,417
68,46,85,64,67,0,442
52,4,87,85,63,62,450
24,92,85,86,9,45,488
96,66,49,79,63,34,425
1,52,99,67,72,89,483
54,66,25,56,3,70,422
94,74,81,76,62,53,446
58,91,77,53,27,41,415
91,60,28,62,37,55,407
27,43,75,91,88,87,475
42,81,21,7,24,92,481
90,59,79,68,59,80,441
46,36,21,55,94,97,446
80,38,65,55,88,0,454
65,94,19,43,13,8,478
50,94,80,83,74,62,449
94,86,50,17,71,15,473
41,10,52,22,36,61,406
97,87,62,81,76,79,488
86,44,81,74,99,60,461
81,25,56,74,51,40,401
84,57,20,59,77,68,430
66,83,82,45,66,80,437
18,65,82,57,33,68,425
56,4,91,81,22,88,494
39,52,65,87,60,76,406
45,39,92,69,69,55,405
96,87,57,86,35,57,453
36,50,51,23,65,29,381
52,85,11,56,72,54,413
26,58,60,1,42,96,448
97,27,85,91,58,95,504
